DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
F424,Lamarca & Sons Bakery Products,140 Canal St,Malden,F,2148,,42.42208943,71.0722748,235201.0751,908040.5765,M,100
W241,Lamarca Baking,140 Canal St,Malden,W,2148,,42.5933374,72.2374882,139470.9211,927236.3618,T,66
R2175,Lambert's Cove Inn,90 Manaquayak Rd,Vineyard Haven,R,2568,37.5,41.43352014,70.6581463,270366.0215,798498.6168,M,100
G246,Lamberts Rainbow Deli,220 Providence Hwy,Norwood,G,2062,60,42.2043331,71.1864612,225892.6786,883812.4666,M,100
G247,Lamberts Rainbow Fruit,826 Crescent St,Brockton,G,2302,48,42.08165749,70.9853739,242580.9344,870267.4815,M,100
G248,Lamberts Rainbow Fruit Co,777 Wlliam T Mrrssey Blvd,Boston,G,2122,37.5,42.2945858,71.048033,237271.158,893888.3743,M,89
G249,Lamberts Rainbow Fruit Company,1000 W Main St,Centerville,G,2632,120,41.65718691,70.3296325,297482.3845,823662.3432,M,100
R198,Lam's Restaurant,825 Washington St,Newton,R,2460,15,42.3523032,71.2037038,224411.664,900243.0392,M,62
R1453,Land & Sea,67 Lynnfield St,Peabody,R,1960,27,42.51678963,70.9497116,245219.8307,918617.456,M,100
R3595,Landfall Restaurant,2 Luscombe Ave,Woods Hole,R,2543,97.5,41.52390549,70.6694528,269323.2492,808527.7964,M,100
R1680,Land Ho,38 Main Street,Orleans,R,2653,30,41.78782807,69.9913999,325395.2632,838612.5127,M,100
IS9,Landmark School,429 Hale Street,Beverly,IS,1915,29.34225,42.55309418,70.8343925,254664.5026,922717.6438,M,100
R2176,Landucci Italian Ristorante,824 Main St,Falmouth,R,2540,37.5,41.55443971,70.6012455,274980.3652,811976.6864,M,100
IH374,LANESSA EXTENDED CARE FACILITY,751 SCHOOL STREET,WEBSTER,IH,1570,31.536,42.03597076,71.8824079,168336.1631,865135.5441,M,100
F425,Langelier's Bakery Inc,41 Cabot St,Holyoke,F,1040,,42.1987211,72.6052758,108718.3153,883732.9619,M,100
R3335,Lantana,43 Scanlon Dr,Randolph,R,2368,75,42.201024,71.0643916,235975.2385,883489.1883,M,100
G250,Larry DS Village Deli,22 Andover St,Andover,G,1810,30,42.64568788,71.1530767,228450.2295,932847.8636,M,100
IC33,Lasell College,1844 Commonwealth Avenue,Newton,IC,2466,88.806375,42.34325567,71.2413324,221314.5276,899227.9904,M,100
IH375,LASELL HOUSE,120 SEMINARY AVENUE,NEWTON,IH,2466,14.454,42.33930169,71.2495047,220642.4128,898786.7891,M,100
R199,Lasita Restaurant,13 Park St,Ayer,R,1432,15,42.56104469,71.5903253,192582.6977,923391.4434,M,100
R2368,Lastoria Italian Bar & Grill,577 Washington St,Stoughton,R,2072,39,42.13032371,71.1017813,232924.0587,875621.3158,M,100
R639,Lasumma Restaurant,30 Fleet St,Boston,R,2113,18,42.36443827,71.0524713,236864.4519,901645.2732,M,100
W242,Late July Snacks LLC,3166 Main St,Barnstable,W,2630,,42.32624752,73.0835315,69487.30799,898517.9994,T,66
IH646,LATHROP HOME,215 SOUTH STREET,NORTHAMPTON,IH,1060,12.8115,42.31028499,72.6369338,106269.0932,896158.113,M,100
R2033,Lattanzi's Restaurant,19 Church St,Edgartown,R,2539,36,41.39050534,70.5149656,282388.4009,793849.5147,M,100
IH376,LAUREL LAKE CENTER FOR HLTH &,620 LAUREL STREET,LEE,IH,1238,28.908,42.325572,73.2614365,54825.02633,898730.4853,M,100
IH377,LAUREL RIDGE REHAB & NURSING C,174 FOREST HILLS STREET,BOSTON,IH,2130,39.42,42.30624033,71.10269,232757.9098,895160.4526,M,100
R1151,Laurino's,3668 Main St,Brewster,R,2631,22.5,41.77566376,70.0236766,322736.0632,837214.7051,M,100
W243,"Lavallee's Bakery Disbributors, LLC",117 Beaver St,Waltham,W,2452,,42.088406,71.407375,207663.162,870892.7534,T,66
