sample_size,ban_year,county_id,n,att,attempt
4,2014,MA,39,-0.068686056,58
5,2014,MA,48,-0.070390021,58
6,2014,MA,48,-0.062735618,58
7,2014,MA,49,-0.073030282,58
8,2014,MA,50,-0.069487758,58
9,2014,MA,50,-0.070008602,58
10,2014,MA,50,-0.066350937,58
3,2014,MA,11,-0.067914552,59
4,2014,MA,36,-0.063582654,59
5,2014,MA,46,-0.087329713,59
6,2014,MA,48,-0.069912802,59
7,2014,MA,49,-0.084215619,59
8,2014,MA,50,-0.075226323,59
9,2014,MA,50,-0.064324036,59
10,2014,MA,50,-0.069026481,59
3,2014,MA,17,-0.067914552,60
4,2014,MA,39,-0.068686056,60
5,2014,MA,50,-0.061018172,60
6,2014,MA,49,-0.066943487,60
7,2014,MA,49,-0.063138208,60
8,2014,MA,48,-0.072312942,60
9,2014,MA,50,-0.079884136,60
10,2014,MA,50,-0.075409829,60
3,2014,MA,14,-0.067914552,61
4,2014,MA,37,-0.068686056,61
5,2014,MA,47,-0.078745681,61
6,2014,MA,49,-0.066152925,61
7,2014,MA,50,-0.076572331,61
8,2014,MA,50,-0.064414941,61
9,2014,MA,50,-0.067521383,61
10,2014,MA,50,-0.072668402,61
3,2014,MA,15,-0.067914552,62
4,2014,MA,35,-0.068686056,62
5,2014,MA,46,-0.070390021,62
6,2014,MA,49,-0.064675821,62
7,2014,MA,49,-0.062410826,62
8,2014,MA,50,-0.064414941,62
9,2014,MA,50,-0.062382464,62
10,2014,MA,50,-0.065685731,62
3,2014,MA,15,-0.067914552,63
4,2014,MA,40,-0.062299851,63
5,2014,MA,45,-0.068295593,63
6,2014,MA,48,-0.066152925,63
7,2014,MA,50,-0.065874605,63
8,2014,MA,49,-0.070416258,63
9,2014,MA,50,-0.065745904,63
10,2014,MA,50,-0.057521588,63
3,2014,MA,22,-0.067914552,64
4,2014,MA,33,-0.068686056,64
5,2014,MA,43,-0.087329713,64
6,2014,MA,49,-0.063674752,64
7,2014,MA,49,-0.055558494,64
8,2014,MA,50,-0.063955354,64
9,2014,MA,49,-0.073113429,64
10,2014,MA,50,-0.068218197,64
3,2014,MA,12,-0.067914552,65
4,2014,MA,39,-0.068686056,65
5,2014,MA,47,-0.077402525,65
6,2014,MA,48,-0.057914386,65
7,2014,MA,49,-0.064308184,65
8,2014,MA,50,-0.055195129,65
9,2014,MA,48,-0.073113429,65
10,2014,MA,50,-0.069791402,65
3,2014,MA,14,-0.067914552,66
4,2014,MA,39,-0.068686056,66
5,2014,MA,45,-0.068295593,66
6,2014,MA,50,-0.067436536,66
7,2014,MA,50,-0.062319533,66
8,2014,MA,49,-0.066473348,66
9,2014,MA,49,-0.070861987,66
10,2014,MA,49,-0.069578157,66
3,2014,MA,15,-0.067914552,67
4,2014,MA,33,-0.092036528,67
5,2014,MA,46,-0.087329713,67
6,2014,MA,46,-0.054810542,67
7,2014,MA,49,-0.070842994,67
8,2014,MA,49,-0.065079976,67
9,2014,MA,50,-0.065932782,67
10,2014,MA,49,-0.072424743,67
3,2014,MA,14,-0.067914552,68
4,2014,MA,33,-0.068686056,68
5,2014,MA,45,-0.068629841,68
6,2014,MA,47,-0.065964865,68
7,2014,MA,50,-0.076572331,68
8,2014,MA,50,-0.071120904,68
9,2014,MA,49,-0.063410413,68
10,2014,MA,50,-0.075383572,68
3,2014,MA,12,-0.067914552,69
4,2014,MA,37,-0.063582654,69
5,2014,MA,47,-0.068295593,69
6,2014,MA,50,-0.066152925,69
7,2014,MA,49,-0.070842994,69
8,2014,MA,50,-0.08222322,69
9,2014,MA,50,-0.062728275,69
10,2014,MA,49,-0.068295307,69
3,2014,MA,14,-0.067914552,70
4,2014,MA,40,-0.068686056,70
5,2014,MA,44,-0.068295593,70
6,2014,MA,48,-0.05731421,70
7,2014,MA,48,-0.067704522,70
8,2014,MA,50,-0.07912993,70
9,2014,MA,49,-0.064313159,70
10,2014,MA,50,-0.065635348,70
3,2014,MA,14,-0.067914552,71
4,2014,MA,37,-0.062299851,71
5,2014,MA,42,-0.077402525,71
6,2014,MA,49,-0.054810542,71
7,2014,MA,49,-0.084215619,71
8,2014,MA,50,-0.056458623,71
9,2014,MA,50,-0.067540322,71
10,2014,MA,50,-0.067545244,71
3,2014,MA,16,-0.067914552,72
4,2014,MA,39,-0.068686056,72
5,2014,MA,44,-0.064896744,72
6,2014,MA,46,-0.065964865,72
7,2014,MA,49,-0.059637167,72
8,2014,MA,49,-0.074568146,72
9,2014,MA,50,-0.063464779,72
10,2014,MA,50,-0.062391541,72
3,2014,MA,16,-0.067914552,73
4,2014,MA,38,-0.062299851,73
5,2014,MA,45,-0.070390021,73
6,2014,MA,48,-0.062735618,73
7,2014,MA,49,-0.057231868,73
8,2014,MA,50,-0.071835103,73
