"attempt","att2","treated_location","treated_state_2"
21,-0.242253117251884,"MD","MA"
22,-0.272229107746296,"MD","MA"
23,-0.213466373947508,"MD","MA"
24,-0.269033227661102,"MD","MA"
25,-0.272840262519063,"MD","MA"
26,-0.25081919765595,"MD","MA"
27,-0.261122988987965,"MD","MA"
28,-0.292645456275234,"MD","MA"
29,-0.260327267002172,"MD","MA"
30,-0.260327267002172,"MD","MA"
31,-0.265581752678054,"MD","MA"
32,-0.227726892172073,"MD","MA"
33,-0.231243458343887,"MD","MA"
34,-0.258541726331327,"MD","MA"
35,-0.263885096362634,"MD","MA"
36,-0.259864774195098,"MD","MA"
37,-0.226412586545287,"MD","MA"
38,-0.23594618513848,"MD","MA"
39,-0.245571368147739,"MD","MA"
40,-0.267185759552996,"MD","MA"
41,-0.276951377577108,"MD","MA"
42,-0.246877540673577,"MD","MA"
43,-0.239235274358704,"MD","MA"
44,-0.254359752467568,"MD","MA"
45,-0.244653360463419,"MD","MA"
46,-0.243420110306205,"MD","MA"
47,-0.262845272145041,"MD","MA"
48,-0.260644121140815,"MD","MA"
49,-0.259512041425253,"MD","MA"
50,-0.261721022603467,"MD","MA"
1,-0.0598544436534964,"MI","MA"
2,-0.0630624979417164,"MI","MA"
3,-0.138205380051898,"MI","MA"
4,-0.0375887620792453,"MI","MA"
5,0.0448468177697176,"MI","MA"
6,0.0733618714671353,"MI","MA"
7,-0.100455933590786,"MI","MA"
8,-0.104605408020721,"MI","MA"
9,-0.125919002357797,"MI","MA"
10,-0.0642520399858465,"MI","MA"
11,-0.0973848203895581,"MI","MA"
12,-0.126733507586226,"MI","MA"
13,-0.113857868907281,"MI","MA"
14,-0.0459611212087828,"MI","MA"
15,-0.0382462817854987,"MI","MA"
16,0.0155434310676913,"MI","MA"
17,-0.110233417113256,"MI","MA"
18,-0.0585180744954646,"MI","MA"
19,-0.108381462861365,"MI","MA"
20,-0.0445291829270821,"MI","MA"
21,-0.0705218949829566,"MI","MA"
22,-0.0561510554574123,"MI","MA"
23,-0.111604258382219,"MI","MA"
24,-0.13273007938905,"MI","MA"
25,-0.0551591093425891,"MI","MA"
26,0.119796899579065,"MI","MA"
27,-0.0979266529369644,"MI","MA"
28,-0.14203738113036,"MI","MA"
29,-0.0354421399227214,"MI","MA"
30,-0.0314184427755551,"MI","MA"
31,-0.131331607030736,"MI","MA"
32,-0.0638234585254347,"MI","MA"
33,0.013765780267809,"MI","MA"
34,-0.152978960643691,"MI","MA"
35,-0.135982730435476,"MI","MA"
36,-0.110439026521396,"MI","MA"
37,-0.0842101905532761,"MI","MA"
38,-0.0755488815315321,"MI","MA"
39,-0.106613335788418,"MI","MA"
40,-0.0321065119896337,"MI","MA"
41,-0.0512568898730865,"MI","MA"
42,-0.0624231824283885,"MI","MA"
43,-0.0968467793191318,"MI","MA"
44,-0.0363975568153526,"MI","MA"
45,-0.0353442058256887,"MI","MA"
46,-0.0621782054821891,"MI","MA"
47,-0.103683941841271,"MI","MA"
48,-0.076165756405383,"MI","MA"
49,-0.105233079580948,"MI","MA"
50,-0.017322839349124,"MI","MA"
1,-0.0106850415264837,"MN","MA"
2,-0.0193307150757813,"MN","MA"
3,0.0133625185128117,"MN","MA"
4,0.00869477365427212,"MN","MA"
5,0.00862930900748761,"MN","MA"
6,-0.0145683367006039,"MN","MA"
7,0.0341601095293062,"MN","MA"
8,-0.0630455387196863,"MN","MA"
9,-0.0786761589442629,"MN","MA"
10,-0.0381859165993598,"MN","MA"
11,-0.0732584366122714,"MN","MA"
12,-0.0585781168719867,"MN","MA"
13,-0.0491425940481164,"MN","MA"
14,-0.0517095415749762,"MN","MA"
15,-0.0378233041278769,"MN","MA"
16,-0.0242284672412548,"MN","MA"
17,-0.019426045679839,"MN","MA"
18,-0.0167961562446186,"MN","MA"
19,-0.0440507349997906,"MN","MA"
20,-0.032848616057854,"MN","MA"
21,0.0338565815570677,"MN","MA"
22,-0.0433589725788613,"MN","MA"
23,-0.037800861287392,"MN","MA"
24,0.0181880904975275,"MN","MA"
25,0.046539020663453,"MN","MA"
26,0.046539020663453,"MN","MA"
27,0.0389268271826602,"MN","MA"
28,-0.0418391728354648,"MN","MA"
29,0.0291570241511316,"MN","MA"
30,-0.0687086999366307,"MN","MA"
31,-0.0365983428159236,"MN","MA"
32,0.0013776680717208,"MN","MA"
33,-0.00857787995476005,"MN","MA"
34,-0.023211468720752,"MN","MA"
35,-0.0400060174016526,"MN","MA"
36,0.00897569871129206,"MN","MA"
37,0.0161702357475679,"MN","MA"
38,-0.0651319557507039,"MN","MA"
39,0.0178219362393819,"MN","MA"
40,-0.0113033838455256,"MN","MA"
41,-0.0402656018681307,"MN","MA"
42,-0.0238324746516888,"MN","MA"
43,-0.0387048099487458,"MN","MA"
44,-0.0737432133621504,"MN","MA"
45,-0.0621660528964684,"MN","MA"
46,0.0032525693615289,"MN","MA"
47,-0.0408775570799585,"MN","MA"
48,-0.0370697285520881,"MN","MA"
49,-0.0116796658317314,"MN","MA"
50,0.00917130737648205,"MN","MA"
1,-0.115863947217252,"MO","MA"
2,-0.107371763862569,"MO","MA"
3,-0.126517237202987,"MO","MA"
4,-0.148731525560456,"MO","MA"
5,-0.113190470041906,"MO","MA"
6,-0.155284978704851,"MO","MA"
7,-0.110631097613042,"MO","MA"
8,-0.16216248498754,"MO","MA"
9,-0.117371842414348,"MO","MA"
10,-0.150104123141165,"MO","MA"
11,-0.145444010566299,"MO","MA"
12,-0.117306493095866,"MO","MA"
13,-0.123011763614324,"MO","MA"
14,-0.154061784228518,"MO","MA"
15,-0.132105428068208,"MO","MA"
16,-0.141742480086236,"MO","MA"
17,-0.143668045269962,"MO","MA"
18,-0.116955448190264,"MO","MA"
19,-0.104810362154552,"MO","MA"
20,-0.139637888035252,"MO","MA"
21,-0.115664457303867,"MO","MA"
22,-0.116768822727076,"MO","MA"
23,-0.0976567876134507,"MO","MA"
24,-0.162077310269951,"MO","MA"
25,-0.156989627577036,"MO","MA"
26,-0.118022389032908,"MO","MA"
27,-0.107675939965753,"MO","MA"
28,-0.122646249483178,"MO","MA"
29,-0.165069554210073,"MO","MA"
30,-0.122977341866483,"MO","MA"
31,-0.11904871711399,"MO","MA"
32,-0.177122027795525,"MO","MA"
33,-0.0969502413911582,"MO","MA"
34,-0.0856001774374267,"MO","MA"
35,-0.106842859255345,"MO","MA"
36,-0.12892933275032,"MO","MA"
37,-0.0847971710697225,"MO","MA"
38,-0.150139157665625,"MO","MA"
39,-0.106227042537276,"MO","MA"
40,-0.112896449353255,"MO","MA"
41,-0.0985187065836084,"MO","MA"
42,-0.136533172463087,"MO","MA"
43,-0.12780004004756,"MO","MA"
44,-0.0867139016810996,"MO","MA"
45,-0.0864869854143542,"MO","MA"
46,-0.105710416027718,"MO","MA"
47,-0.108848117959376,"MO","MA"
48,-0.117153150000478,"MO","MA"
