GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Coosa, AL",AL,Coosa,1,Personal income (thousands of dollars),Thousands of dollars,143659,155649,159037,168971,176595,188746,201261,207498,214995,220602,237413,239860,257379,272633,273854,288850,291440,304125,296607,279299,289669,293456,295977,297488,309552,318048,324868,333585,346796
"Coosa, AL",AL,Coosa,2,Population (persons) 1/,Number of persons,11170,11177,11444,11794,11952,11854,11941,12007,12135,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663
"Coosa, AL",AL,Coosa,3,Per capita personal income (dollars) 2/,Dollars,12861,13926,13897,14327,14775,15923,16855,17281,17717,18626,20038,20431,21938,23584,23882,25225,25478,26462,25995,23710,25219,25864,26300,26954,28311,29397,30294,31343,32523
"Covington, AL",AL,Covington,1,Personal income (thousands of dollars),Thousands of dollars,514469,548695,573401,604976,627864,651522,687136,726627,737979,749626,802549,819739,858557,905111,923899,951345,1002516,1045056,1062154,1115048,1120982,1147599,1172446,1203672,1239528,1250556,1300789,1336613,1361768
"Covington, AL",AL,Covington,2,Population (persons) 1/,Number of persons,36620,36950,37218,37108,37489,37693,37759,37776,37843,37514,37069,36901,36860,36806,37204,37441,37631,37545,37648,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049
"Covington, AL",AL,Covington,3,Per capita personal income (dollars) 2/,Dollars,14049,14850,15407,16303,16748,17285,18198,19235,19501,19983,21650,22215,23292,24591,24833,25409,26641,27835,28213,29492,29484,30356,31006,31877,33005,33453,35098,36171,36756
"Crenshaw, AL",AL,Crenshaw,1,Personal income (thousands of dollars),Thousands of dollars,185089,199880,214347,227105,235740,246600,252944,277829,292222,299811,306044,294694,313947,350092,372944,368124,373290,388097,393524,416214,405816,424477,461518,472747,506575,481824,497056,509795,511186
"Crenshaw, AL",AL,Crenshaw,2,Population (persons) 1/,Number of persons,13552,13511,13556,13476,13585,13576,13690,13599,13584,13692,13724,13635,13652,13727,13699,13880,13956,13922,14024,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772
"Crenshaw, AL",AL,Crenshaw,3,Per capita personal income (dollars) 2/,Dollars,13658,14794,15812,16853,17353,18164,18477,20430,21512,21897,22300,21613,22996,25504,27224,26522,26748,27877,28061,30010,29208,30505,33330,34131,36576,34624,35868,36875,37118
"Cullman, AL",AL,Cullman,1,Personal income (thousands of dollars),Thousands of dollars,1030402,1110602,1165773,1248156,1306795,1367250,1472170,1615843,1696844,1718563,1829477,1832140,1954695,2096436,2196398,2230131,2338907,2423219,2400959,2457351,2499237,2625163,2770713,2843141,3045398,3042901,3191471,3338067,3419217
"Cullman, AL",AL,Cullman,2,Population (persons) 1/,Number of persons,68740,69908,70889,72050,73037,74318,75147,76197,77065,77473,77415,77443,77657,78131,78692,79044,79576,80273,80351,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768
"Cullman, AL",AL,Cullman,3,Per capita personal income (dollars) 2/,Dollars,14990,15887,16445,17323,17892,18397,19591,21206,22018,22183,23632,23658,25171,26832,27911,28214,29392,30187,29881,30543,31081,32700,34338,35071,37248,36906,38513,40016,40818
"Dale, AL",AL,Dale,1,Personal income (thousands of dollars),Thousands of dollars,843458,889374,896203,904433,932020,938009,944444,1007996,1039049,1057830,1103023,1144175,1188037,1285217,1397178,1499167,1539888,1562302,1585058,1657707,1693790,1680074,1678211,1676558,1717983,1721761,1766864,1821383,1861330
"Dale, AL",AL,Dale,2,Population (persons) 1/,Number of persons,49835,49833,49710,50424,50303,49536,49184,48991,49118,49124,49254,49373,49215,49245,49050,49077,49488,49871,49854,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172
"Dale, AL",AL,Dale,3,Per capita personal income (dollars) 2/,Dollars,16925,17847,18029,17937,18528,18936,19202,20575,21154,21534,22395,23174,24140,26098,28485,30547,31116,31327,31794,32895,33793,33408,33719,33929,34802,34880,35809,37063,37853
